stop_id,stop_name
STP-001,Punta Princesa
STP-002,Punta Princesa Elementary School
STP-003,Miller Hospital
STP-004,Labangon Public Market
STP-005,Labangon Elementary School
STP-006,Tres de Abril St
STP-007,N Bacalso Ave
STP-008,J Alcantara
STP-009,University of San Carlos South Campus
STP-010,Calamba Cemetery
STP-011,Vicente Sotto Hospital
STP-012,Mango Square Mall
STP-013,Horizons 101
STP-014,Fooda Saversmart
STP-015,University of San Carlos North Campus
STP-016,Collegio de la Immaculada Concepcion
STP-017,Ayala Center Cebu
